id,country,description,subDepartment,department,premium,notes,name,number,exampleBrands
categories-Archery-629RP-7729-vpf8r,US,"Equipment and gear used for archery, including bows, arrows, and accessories.",Hunting,Sports & Outdoor,false,,Archery,629-RP,"Bowtech, Mathews, Bear Archery, Diamond"
categories-Archery-629RP-8745-ak4nr,CA,"Bows, arrows, and archery equipment.",Recreation & Fitness,Sports & Outdoors,false,,Archery,629-RP,"Excalibur Crossbow (Canada), Bear Archery, Hoyt, Mathews"
categories-Aromatherapy-543RP-7733-nzlsd,US,"Use of essential oils and fragrances for therapeutic purposes, including relaxation and mood enhancement.",Health & Medicine,"Pharmacy, Health & Wellness",false,,Aromatherapy,543-RP,"doTERRA, Young Living, Plant Therapy, Aura Cacia"
categories-Aromatherapy-543RP-8747-tap5l,CA,"Essential oils, diffusers, and aromatherapy products.",Miscellaneous,General Merchandise,false,,Aromatherapy,543-RP,"Saje Natural Wellness (Canada), Now Foods, Vitruvi, Aura Cacia"
categories-ArtSupplies-675RP-7739-dwuxo,US,"Tools and materials used for creating visual art, including paints, brushes, and canvases.","Arts, Crafts & Sewing","Arts, Crafts, Sewing & Party Supplies",false,,Art Supplies,675-RP,"Prang, Crayola, Faber-Castell, Winsor & Newton"
categories-ArtSupplies-675RP-9886-jfncq,CA,"Paints, brushes, canvases, and general art supplies.",Miscellaneous,General Merchandise,false,,Art Supplies,675-RP,"Crayola, Michaels, Prismacolor, Dollarama"
categories-ArtsCraftsforKids-556RP-8746-smmks,CA,Craft kits and supplies designed for children.,Office Supplies & Crafts,Office & Crafts,false,,Arts & Crafts for Kids,556-RP,"Crayola, Melissa & Doug, Alex Toys, Spin Master (Canada)"
categories-AsianCookingSauces-232-9887-zvvhe,CA,"Sauces and condiments used in Asian cooking, such as soy, teriyaki, and stir-fry sauces, sold in retail stores.",Pantry & Snacks,Grocery,false,,Asian Cooking Sauces,232,"VH, Kikkoman, Lee Kum Kee, President's Choice"
categories-AsianMarket-449RP-7736-aigbl,US,"A selection of foods and ingredients from Asian cuisines, including noodles, sauces, and spices.",International Foods,Grocery,false,,Asian Market,449-RP,"Kikkoman, Lee Kum Kee, Annie Chun's, House Foods"
categories-AsianMarket-449RP-8750-dnrdd,CA,Packaged goods and ingredients from Asian cuisines.,Miscellaneous,General Merchandise,false,,Asian Market,449-RP,"T&T Supermarket, President's Choice, Compliments, Lee Kum Kee"
categories-AsparagusArtichoke-441RP-7738-k3g2i,US,"Tender vegetables with distinct flavors, often used in salads or roasted as a side dish.",Fresh Vegetables,Grocery,false,,Asparagus & Artichoke,441-RP,"Ocean Mist, Green Giant, Dole, Taylor Farms"
categories-AsparagusArtichoke-441RP-8747-z5mq9,CA,Fresh asparagus and artichokes in produce sections.,Miscellaneous,General Merchandise,false,,Asparagus & Artichoke,441-RP,"Compliments, President's Choice, Mann's, Earthbound Farm"
categories-Avocados-132-7735-ol8g5,US,"Creamy, nutrient-rich fruits typically used in salads, sandwiches, or for making guacamole.",Fresh Fruits,Grocery,false,,Avocados,132,"Haas, Ocho Rios, Calavo, Wholesum"
categories-Avocados-132-8747-c9icp,CA,Fresh avocados sold in produce sections.,Produce,Grocery,false,,Avocados,132,"Calavo, Compliments, President's Choice, Fresh Del Monte"
categories-BabyBedding-506RP-7739-b709s,US,"Bedding designed specifically for babies, including crib sheets, blankets, and mattresses.",Nursery & Decor,"Home, Furniture & Appliances",false,,Baby Bedding,506-RP,"Pottery Barn Kids, Aden + Anais, Target, Macy's"
categories-BabyBedding-506RP-8746-8a0hy,CA,"Crib sheets, blankets, and other baby bedding items.",Baby Care & Gear,Baby,false,,Baby Bedding,506-RP,"Carter's, Aden + Anais, Kushies (Canada), Little Unicorn"
categories-BabyDiapers-74-7739-113nm,CA,Absorbent garments for babies to keep them dry and comfortable.,Baby Care & Gear,Baby,false,,Baby Diapers,74,"Pampers, Huggies"
categories-BabyFeeding-117-8742-1yn5j,US,"Products for feeding infants, including bottles, breast pumps, spoons, etc.",Feeding,Baby,false,,Baby Feeding,117,"EZPZ, Tommee Tippee, Munchkin, OXO Tot, Wean Green, Private Label, etc. "
categories-1761144065316-ybsj8l7,US,"Baby foods & snacks in bottles, pouches, & cans",Feeding,Baby,false,Department Visits (2): Ambient | Refrigerated,Baby Food & Snacks,730-RP,"Gerber, Beech-Nut, Brainiac, Happy Baby, Plum Organics, Once Upon a Farm, etc. "
categories-BabyFood-116-8750-of953,CA,"Packaged infant and toddler foods, including purees, cereals, and snacks.",Feeding,Baby,false,Department Visits (2): Ambient | Refrigerated	,Baby Food & Snacks,116,"Heinz Baby, President's Choice Organics, Gerber, Love Child Organics"
categories-1761144127186-upvx6fs,US,"Powdered formula & bottled hydration/supplements ",Feeding,Baby,false,,Baby Formula,731-RP,"Similac, PediaSure, Enfamil"
categories-BabyFormula-117217-9886-b8z2n,CA,"Powdered, concentrated, and ready-to-feed infant formulas.",Baby Care & Gear,Baby,false,,Baby Formula,117,"Similac, Enfamil, Nestl Good Start, President's Choice Organics"
categories-BabyHealth-380RP-7736-eqpa5,US,"Health-related products for babies, including thermometers, medications, and baby-safe remedies.",Baby,Baby,false,,Baby Health,380-RP,"Infant Tylenol, Little Remedies, Zarbee's, Gerber"
categories-BabyHealth-380RP-9887-dk7ug,CA,"Thermometers, medicines, and wellness products for babies.",Baby Care & Gear,Baby,false,,Baby Health,380-RP,"Boiron, Mommy's Bliss, Hyland's, Johnson & Johnson"
categories-BabyMonitors-551RP-8744-60y4j,US,Devices used to listen to or watch over babies for safety and monitoring.,Health & Safety,"Pharmacy, Health & Wellness",false,,Baby Monitors,551-RP,"VTech, Motorola, Summer Infant, Infant Optics"
categories-BabyMonitors-551RP-8745-gk974,CA,Audio and video baby monitoring devices.,Baby Care & Gear,Baby,false,,Baby Monitors,551-RP,"VTech, Motorola, Philips Avent, Safety 1st"
categories-BabyProofing-552RP-7738-q5dcw,US,"Products to child-proof homes, including outlet covers, cabinet locks, and corner protectors.",Health & Safety,"Pharmacy, Health & Wellness",false,,Baby Proofing,552-RP,"Munchkin, Safety 1st, Evenflo, KidCo"
categories-BabyProofing-552RP-9887-b5l5d,CA,"Safety gates, outlet covers, and other baby-proofing items.",Baby Care & Gear,Baby,false,,Baby Proofing,552-RP,"Safety 1st, Dreambaby, Evenflo, Prince Lionheart"
categories-BabySafety-381RP-8742-6aoit,US,"Products designed to ensure the safety of babies, including baby gates, locks, and safety proofing items.",Baby,Baby,false,,Baby Safety,381-RP,"Safety 1st, Summer Infant, Evenflo, Munchkin"
categories-BabySafety-381RP-8748-xvuaz,CA,General safety products for infants and toddlers.,Baby Care & Gear,Baby,false,,Baby Safety,381-RP,"Safety 1st, Evenflo, Graco, Summer Infant"
categories-BabyShampooWashOil-379RP-7736-tjrgw,US,"Gentle washes, shampoos, & oil forumlated for babies",Baby,Baby,false,,"Baby Shampoo, Wash & Oil",379-RP,"Johnson's, CeraVe, Aquaphor, Aveeno Baby"
categories-BabyShampooWashOil-CA379RP379RP-8748-l2zvl,CA,"Gentle shampoos, body washes, and oils for babies.",Personal Care & Beauty,Beauty,false,,"Baby Shampoo, Wash & Oil",CA-379-RP | 379-RP,"Johnson's Baby, Aveeno Baby, Live Clean Baby, President's Choice"
categories-BabyToiletries-149-8749-iby7p,CA,"Infant and toddler care items such as baby shampoo, lotion, wipes, and powder.",Baby Care & Gear,Baby,false,,Baby Toiletries,149,"Johnson's Baby, Aveeno Baby, Live Clean Baby, President's Choice"
categories-BaconHotdogsSausage-203-7738-nef9s,US,"Bacon, Hotdogs, & Sausage",Meat & Seafood,Grocery,false,,"Bacon, Hotdogs, & Sausage",203,"Oscar Meyer, Nathan's, Wellshire, Johnsonville, Bar S"
categories-BagelsEnglishMuffins-260-8750-f92ut,CA,"Packaged bagels, English muffins, and related breakfast breads.",Miscellaneous,General Merchandise,false,,Bagels & English Muffins,260,"Dempster's, Villaggio, President's Choice, Compliments"
categories-BakeryBread-408RP-7737-740zy,US,"Freshly baked bread products, including loaves, baguettes, and artisan",Bakery & Bread,Grocery,false,,Bakery Bread,408-RP,"Marketside, Kirkland"
categories-BakerySweets-409RP-8743-mq208,US,Freshly baked bread pastries & desserts,Bakery & Bread,Grocery,false,,Bakery Sweets,409-RP,Two Bites
categories-BakerySweets-409RP-8750-opzon,CA,"Packaged bakery sweets like cakes, pastries, and tarts.",Bakery & Breakfast,Grocery,false,,Bakery Sweets,409-RP,"Tim Hortons, President's Choice, Compliments, Sara Lee"
categories-Bakeware-498RP-8744-nv6sp,US,"Cookware designed for baking, including cake pans, muffin tins, and baking sheets.",Kitchen & Dining,"Home, Furniture & Appliances",false,,Bakeware,498-RP,"Wilton, Nordic Ware, Pyrex, Anchor Hocking"
categories-Bakeware-498RP-9886-6n2of,CA,"Pans, trays, and baking accessories.",Miscellaneous,General Merchandise,false,,Bakeware,498-RP,"Wilton, Pyrex, Nordic Ware, President's Choice"
categories-BakingIngredients-411RP-7734-nn8ea,US,"Various ingredients used for baking, including flour, sugar, baking soda, and spices.",Baking,Grocery,false,,Baking Ingredients,411-RP,"Gold Medal, Pillsbury, King Arthur, Domino"
categories-BakingIngredients-411RP-8747-h6ams,CA,"Flour, sugar, yeast, and other baking staples.",Miscellaneous,General Merchandise,false,,Baking Ingredients,411-RP,"Robin Hood, Redpath, Five Roses, Compliments"
categories-BakingMixes-115-7729-f2c2p,US,"Pre-packaged mixtures of ingredients used for baking, including cake, muffin, and pancake mixes.",Baking,Grocery,false,,Baking Mixes,115,"Betty Crocker, Pillsbury, Duncan Hines, Jiffy"
categories-BakingMixes-115234-8750-32dzx,CA,"Packaged dry mixes for cakes, muffins, and cookies.",Miscellaneous,General Merchandise,false,,Baking Mixes,115 | 234,"Betty Crocker, Duncan Hines, Robin Hood, Compliments"
categories-Balloons-688RP-7739-5mho6,US,"Inflatable objects used for decoration or entertainment, often seen at parties or celebrations.",Party Supplies,"Arts, Crafts, Sewing & Party Supplies",false,,Balloons,688-RP,"Qualatex, Anagram, Betallic, Pioneer"
categories-Balloons-688RP-9886-k0fq7,CA,Party balloons and accessories.,Miscellaneous,General Merchandise,false,,Balloons,688-RP,"Party City, Unique, Anagram, Great Value"
categories-BananasPlantains-423RP-7730-4n43c,US,"Fruity staples, with bananas being sweet and plantains typically cooked as a starchy side.",Fresh Fruits,Grocery,false,,Bananas & Plantains,423-RP,"Chiquita, Dole, Del Monte, Organics"
categories-BananasPlantains-423RP-7730-tatk4,CA,"Fresh fruit, a staple produce item for snacking and cooking.",Produce,Grocery,false,,Bananas & Plantains,423-RP,"Chiquita, Dole, Del Monte"
categories-Baseball-636RP-7733-4wwa4,US,"Sports equipment related to baseball, including bats, balls, gloves, and protective gear.",Sports & Outdoors,Sports & Outdoor,false,,Baseball,636-RP,"Easton, Rawlings, Louisville Slugger, Wilson"
categories-Baseball-636RP-8745-rgl0m,CA,"Baseball equipment, gear, and accessories.",Miscellaneous,General Merchandise,false,,Baseball,636-RP,"Rawlings, Wilson, Easton, CCM"
categories-Basketball-637RP-8742-qajcw,US,"Sports equipment related to basketball, including balls, hoops, and apparel.",Sports & Outdoors,Sports & Outdoor,false,,Basketball,637-RP,"Spalding, Wilson, Nike, Adidas"
categories-Basketball-637RP-8745-mdua7,CA,"Basketballs, hoops, and related gear.",Recreation & Fitness,Sports & Outdoors,false,,Basketball,637-RP,"Spalding, Wilson, Nike, Canadian Tire Pro-Spin"
kBAFDK1YwommfEJx064u,US,"Loofa sponges, bath brushes, bath poufs, etc.",Bath & Body,Personal Care,false,"Eco Tools, Soap Saver, Cleanlogic",Bath & Body Accessories,747-RP,
categories-BathTissue-339-9887-q1qwz,CA,"Toilet paper products in single rolls, multipacks, and premium varieties.",Bath & Home Improvement,Home,false,,Bath Tissue,339,"Cashmere, Royale, Kirkland, President's Choice"
categories-BathroomAccessories-507RP-8743-ux43z,US,"Items used for decorating or organizing the bathroom, such as soap dispensers, trays, and racks.",Bathroom,"Home, Furniture, & Appliances",false,,Bathroom Accessories,507-RP,"Target, InterDesign, Bed Bath & Beyond, Kohler"
categories-BathroomAccessories-507RP-8749-m0ofj,CA,"Mirrors, storage, and accessories for bathrooms.",Bath & Home Improvement,Home,false,,Bathroom Accessories,507-RP,"Umbra, IKEA, President's Choice, Bath Depot"
categories-BathroomCabinetsFixtures-162-7735-e99wj,US,"Storage units and decorative items designed for bathrooms, such as medicine cabinets and towel racks.",Bathroom Renovations,Home Improvement,false,,Bathroom Cabinets & Fixtures,162,"IKEA, Home Depot (HDX), American Woodmark, KraftMaid"
categories-BathroomFaucets-159-9886-wb391,CA,Retail bathroom sink and tub faucets.,Bath & Home Improvement,Home,false,,Bathroom Faucets,159,"Moen, Delta, Pfister, Kohler"
categories-BathroomFaucets-160-7737-6syxg,US,Faucets designed for use in bathrooms for controlling water flow in sinks and tubs.,Bathroom Renovations,Home Improvement,false,,Bathroom Faucets,160,"Moen, Delta, Kohler, Pfister"
categories-BathroomRugsBathMats-508RP-7738-jr5fs,US,"Textile coverings for the bathroom floor, offering comfort and absorbency after showers.",Bathroom,"Home, Furniture, & Appliances",false,,Bathroom Rugs & Bath Mats,508-RP,"Nautica, UGG, Target, AmazonBasics"
categories-BathroomRugsBathMats-508RP-9887-b4y83,CA,Rugs and mats designed for bathroom use.,Furniture & Home Dcor,Home,false,,Bathroom Rugs & Bath Mats,508-RP,"IKEA, Bed Bath & Beyond (Canada), HomeSense, Walmart Canada"
categories-BathroomSinks-162-9886-gk98s,CA,Retail bathroom sink fixtures and vanity tops.,Bath & Home Improvement,Home,false,,Bathroom Sinks,162,"IKEA, Kohler, American Standard, Glacier Bay"
categories-Bathtubs-163-7729-m8jo9,US,"Large containers for bathing, typically made from materials like acrylic or cast iron.",Home Improvement,Home Improvement,false,,Bathtubs,163,"American Standard, Kohler, Maax, Sterling"
categories-Bathtubs-163-9887-107uu,CA,Retail bathtub fixtures and installations.,Bath & Home Improvement,Home,false,,Bathtubs,163,"Mirolin, Maax, American Standard, Kohler"
categories-Batteries-119-7734-l86nx,US,"AA, AAA, and other common household batteries. Chargeable and rechargeable.",Household Essentials,Household Essentials,true,,Batteries,119,"Energizer, Duracell, Rayovac, Panasonic"
categories-Batteries-119-8745-jhgha,CA,"AA, AAA, and other common household batteries. Chargeable and rechargeable.",Miscellaneous,General Merchandise,true,,Batteries,119,"Duracell, Energizer, Panasonic, President's Choice"
categories-BeachLawnGames-638RP-7729-wfx3r,US,"Outdoor games and activities for the beach or lawn, including frisbees, cornhole, and bocce.",Sports & Outdoors,Sports & Outdoor,false,,Beach & Lawn Games,638-RP,"Bocce, Spikeball, KanJam, Cornhole"
categories-BeachLawnGames-638RP-8750-1uzs7,CA,Outdoor games for the beach or lawn.,Toys & Games,Toys,false,,Beach & Lawn Games,638-RP,"Franklin Sports, EastPoint, Canadian Tire, Wham-O"
categories-BeadingJewelryMaking-669RP-8745-m4mr0,CA,"Beads, tools, and supplies for jewelry making.",Miscellaneous,General Merchandise,false,,Beading & Jewelry Making,669-RP,"Bead Landing, Cousin DIY, Fire Mountain Gems, John Bead (Canada)"
categories-BeadingJewelryMaking-669RP-9887-73jnq,US,"Supplies for creating jewelry, including beads, wires, clasps, and tools.",Arts Crafts & Sewing,"Arts, Crafts, Sewing & Party Supplies",false,,Beading & Jewelry Making,669-RP,"Michaels, Bead Landing, Cousin DIY, John Bead (Canada)"
categories-BeansRice-377RP-7734-jr2xg,US,"Shelf-stable dry or packaged staple foods primarily used as base ingredients in meals, not complete prepared dishes.",Pantry,Grocery,false,"Includes: Dry beans (black, pinto, kidney, lentils),  Dry rice (white, brown, jasmine, basmati), Shelf-stable rice pouches or boxes (plain or lightly seasoned), Dry bean & rice mixes (e.g., jambalaya mix, red beans & rice mix)

Explicitly Excludes: Canned beans (fully cooked, liquid-packed), Canned chili or prepared meals, Refrigerated or frozen beans/rice",Beans & Rice,377-RP,"Goya, Bush's, Lundberg, Success"
categories-BeansRice-377RP-8750-8tjj4,CA,Packaged beans and rice products.,Pantry & Snacks,Grocery,false,,Beans & Rice,377-RP,"Primo, Goya, Unico, Compliments"
categories-BeautyTechTools-390RP-7730-1an5j,US,"Beauty Tech & Tools includes non-electronic tools used for makeup application, skincare prep, cleansing, and grooming.
This category excludes powered or heat-based hair tools.",Beauty,Beauty,false,"Additional Product examples: Facial cleansing sponges, makeup brushes eyelash crimpers, Compact mirrors, etc.",Beauty Tech & Tools,390-RP,"Clarisonic, Foreo, Revlon, Conair"
categories-BeautyTechTools-390RP-8747-uoc3b,CA,Electronic beauty devices such as hair dryers and facial tools.,Kitchen & Appliances,Home,false,,Beauty Tech & Tools,390-RP,"Conair, Dyson, Revlon, Panasonic"
categories-BedSheetsPillowCases-511RP-7730-35skz,US,"Bedding items that include sheets and pillow coverings, often made of cotton or linen.",Bedding,"Home, Furniture, & Appliances",false,,Bed Sheets & Pillow Cases,511-RP,"Brooklinen, Parachute, Linenspa, AmazonBasics"
categories-BedSheetsPillowCases-511RP-9887-1nchz,CA,"Sheet sets, pillowcases, and bedding basics.",Furniture & Home Dcor,Home,false,,Bed Sheets & Pillow Cases,511-RP,"IKEA, Simons, QE Home, Walmart Canada"
categories-BedroomFurniture-488RP-7735-z3xtd,US,"Furniture for the bedroom, such as beds, dressers, and nightstands.",Furniture,"Home, Furniture & Appliances",false,,Bedroom Furniture,488-RP,"IKEA, Pottery Barn, Wayfair, Ashley Furniture"
categories-BedroomFurniture-488RP-8745-revkw,CA,"Beds, dressers, and bedroom storage furniture.",Furniture & Home Dcor,Home,false,,Bedroom Furniture,488-RP,"IKEA, Leon's, Structube, The Brick"
categories-BeefLamb-272-7730-tl1ob,US,"Cuts of meat from cattle (beef) and sheep (lamb), commonly used in steaks, roasts, and stews.",Meat & Seafood,Grocery,false,,Beef & Lamb,272,"Certified Angus Beef, Omaha Steaks, Perdue, Costco Kirkland"
categories-BeefJerkyDriedMeats-460RP-7736-srgxh,US,"Dried, cured meats, often used as a portable, high-protein snack.","Snacks, Cookies, & Chips",Grocery,false,,Beef Jerky & Dried Meats,460-RP,"Jack Link's, Slim Jim, Krave, Oberto"
categories-BeefJerkyDriedMeats-460RP-8748-4mmi0,CA,Fresh or frozen protein options prepared as part of meals.,Meat & Seafood,Grocery,false,,Beef Jerky & Dried Meats,460-RP,"Jack Link's, McSweeney's (Canada), Great Canadian Meat, Oberto"
categories-Beer-334-7730-6pbh1,CA,Alcoholic malt beverages commonly consumed socially or with meals.,Beverages,Grocery,true,,Beer,334,"Budweiser, Molson"
categories-Beer-334-7730-qa3nb,US,"Alcoholic beverage made from fermented grains, typically barley, and flavored with hops.",Alcohol,Grocery,true,,Beer,334,"Budweiser, Coors, Miller Lite, Heineken"
categories-BeerAlternatives-350-8743-21evb,US,"Alcoholic seltzers, cocktails, and ciders",Alcohol,Grocery,true,,Beer Alternatives,350,"Truly, Angry Orchard, Cayman Jack"
categories-BeerAlternatives-CA350-8745-8g5lo,CA,Alcoholic malt beverages commonly consumed socially or with meals.,Beverages,Grocery,true,,Beer Alternatives,CA-350,"Partake Brewing, Libra, Harmon's, President's Choice"
categories-BelCheese-83-8746-cjv35,CA,"Cheese products from Bel brands, including Babybel, The Laughing Cow, and Boursin.",Dairy & Eggs,Grocery,false,,Bel Cheese,83,"Babybel, The Laughing Cow, Boursin, Kiri"
categories-Berries-138-7733-xxwsr,US,"Small, sweet fruits including strawberries, blueberries, raspberries, and blackberries.",Fresh Fruits,Grocery,false,,Berries,138,"Driscoll's, California Giant, Dole, Wyman's"
categories-BikeAccessories-639RP-8742-czref,US,"Accessories for bicycles, such as helmets, locks, lights, and racks.",Sports & Outdoors,Sports & Outdoor,false,,Bike Accessories,639-RP,"Schwinn, Bell, Topeak, Giro"
categories-BikeAccessories-639RP-8748-pymlu,CA,"Helmets, locks, and accessories for bicycles.",Toys & Games,Toys,false,,Bike Accessories,639-RP,"Bell Sports, Schwinn, Supercycle (Canadian Tire), MEC"
categories-Bikes-640RP-8743-w1n55,US,"Two-wheeled vehicles powered by pedaling, available in various types such as road bikes, mountain bikes, and hybrid bikes.",Sports & Outdoors,Sports & Outdoor,false,,Bikes,640-RP,"Trek, Giant, Specialized, Cannondale"
categories-Bikes-640RP-8746-t7eth,CA,Children's and adult bicycles.,Toys & Games,Toys,false,,Bikes,640-RP,"Schwinn, Supercycle (Canadian Tire), Trek, Giant"
categories-BindersAccessories-575RP-7729-5piyn,US,"Organizational products for storing and protecting documents, including binders, dividers, and sheet protectors.",Office Supplies,School & Office Supplies,false,,Binders & Accessories,575-RP,"Avery, Staples, Five Star, Mead"
categories-BindersAccessories-575RP-8745-6d71c,CA,"Binders, dividers, and binder accessories.",Office Supplies & Crafts,Office & Crafts,false,,Binders & Accessories,575-RP,"Avery, Hilroy, Staples Canada, Five Star"
categories-BiscuitsCookiesDoughs-417RP-7739-cv6a7,US,"Chilled, ready-made doughs",Dairy & Eggs,Grocery,false,,"Biscuits, Cookies, & Doughs",417-RP,"Pillsbury, Nestle Toll House"
categories-BiscuitsCookiesDoughs-417RP-8750-n858l,CA,"Packaged biscuits, cookies, and refrigerated doughs.",Pantry & Snacks,Grocery,false,,"Biscuits, Cookies, & Doughs",417-RP,"Pillsbury, Christie, Voortman, President's Choice"
categories-Blackberries-140-8747-4vucj,CA,Fresh blackberry fruit sold in produce sections.,Miscellaneous,General Merchandise,false,,Blackberries,140,"Driscoll's, California Giant, Compliments, President's Choice"
